adsh,cik,company_name,sic,form,fiscal_year,fiscal_period,filing_period,current_period,prior_period,period_gap_days,filed_date,revenue_tag,revenue_unit,revenue_current,revenue_prior,revenue_change,revenue_change_pct,net_income_tag,net_income_unit,net_income_current,net_income_prior,net_income_change,net_income_change_pct,net_margin_current_pct,net_margin_prior_pct,net_margin_change_pp,operating_income_tag,operating_income_unit,operating_income_current,operating_income_prior,operating_income_change,operating_income_change_pct,operating_margin_current_pct,operating_margin_prior_pct,operating_margin_change_pp,profitability_measure_coverage,trend_classification,classification_rule
0000004281-26-000012,0000004281,HOWMET AEROSPACE INC.,3350,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-12,RevenueFromContractWithCustomerExcludingAssessedTax,USD,8252000000.0,7430000000.0,822000000.0,11.063257065948855,NetIncomeLoss,USD,1508000000.0,1155000000.0,353000000.0,30.562770562770563,18.27435773145904,15.545087483176312,2.7292702482827282,OperatingIncomeLoss,USD,2046000000.0,1633000000.0,413000000.0,125.2908756889161,24.793989335918564,21.978465679676987,2.815523656241581,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000025445-26-000009,0000025445,"CRANE NXT, CO.",3490,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-26,RevenueFromContractWithCustomerExcludingAssessedTax,USD,1656700000.0,1486800000.0,169900000.0,11.427226257734732,NetIncomeLoss,USD,145100000.0,184100000.0,-39000000.0,-21.18413905486149,8.758375082996318,12.382297551789078,-3.623922468792759,OperatingIncomeLoss,USD,246700000.0,268800000.0,-22100000.0,91.77827380952381,14.891048469849702,18.07909604519774,-3.188047575348038,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000055135-26-000053,0000055135,KELLY SERVICES INC,7363,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-12,RevenueFromContractWithCustomerExcludingAssessedTax,USD,4250900000.0,4331800000.0,-80900000.0,-1.8675839143081399,NetIncomeLoss,USD,-254100000.0,-600000.0,-253500000.0,-42250.0,-5.977557693664871,-0.013851054988688305,-5.963706638676182,OperatingIncomeLoss,USD,-69800000.0,-15100000.0,-54700000.0,-462.25165562913907,-1.642005222423487,-0.348584883881989,-1.2934203385414977,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000063754-26-000037,0000063754,MCCORMICK & CO INC,2090,10-K,2025,FY,2025-11-30,2025-11-30,2024-11-30,365,2026-01-22,Revenues,USD,6840300000.0,6723700000.0,116600000.0,1.7341642250546574,NetIncomeLoss,USD,789400000.0,788500000.0,900000.0,0.11414077362079898,11.540429513325439,11.727174026205809,-0.1867445128803713,OperatingIncomeLoss,USD,1070800000.0,1060300000.0,10500000.0,100.99028576817882,15.654284168823004,15.76959114773116,-0.11530697890815567,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000067716-26-000014,0000067716,MDU RESOURCES GROUP INC,1400,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-20,Revenues,USD,1875066000.0,1757978000.0,117088000.0,6.660379140125758,NetIncomeLoss,USD,190395000.0,281108000.0,-90713000.0,-32.26980377648448,10.154042577701265,15.99041626231955,-5.836373684618286,OperatingIncomeLoss,USD,290377000.0,265642000.0,24735000.0,109.31140407013952,15.486228218100056,15.110655537213777,0.3755726808862797,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000070318-26-000012,0000070318,TENET HEALTHCARE CORP,8062,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-17,RevenueFromContractWithCustomerExcludingAssessedTax,USD,21310000000.0,20675000000.0,635000000.0,3.071342200725514,ProfitLoss,USD,2367000000.0,4064000000.0,-1697000000.0,-41.756889763779526,11.107461285781323,19.656590084643287,-8.549128798861966,OperatingIncomeLoss,USD,3508000000.0,5956000000.0,-2448000000.0,58.898589657488245,16.46175504458001,28.807738814993954,-12.345983770413946,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000073756-26-000016,0000073756,OCEANEERING INTERNATIONAL INC,1389,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-20,Revenues,USD,2784156000.0,2661161000.0,122995000.0,4.621854897167063,ProfitLoss,USD,353761000.0,147468000.0,206293000.0,139.89001003607564,12.706220484771686,5.541491101064535,7.16472938370715,OperatingIncomeLoss,USD,304552000.0,246270000.0,58282000.0,123.66589515572339,10.938754868620867,9.254231517747328,1.6845233508735389,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000077476-26-000007,0000077476,PEPSICO INC,2080,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-03,Revenues,USD,93925000000.0,91854000000.0,2071000000.0,2.254665011866658,NetIncomeLoss,USD,8240000000.0,9578000000.0,-1338000000.0,-13.969513468365003,8.772957146659568,10.427417423302197,-1.6544602766426288,OperatingIncomeLoss,USD,11498000000.0,12887000000.0,-1389000000.0,89.22169628307597,12.241682193239287,14.02987349489407,-1.7881913016547846,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000078239-26-000021,0000078239,PVH CORP. /DE/,2320,10-K,2025,FY,2026-01-31,2026-01-31,2025-01-31,365,2026-03-31,Revenues,USD,8950200000.0,8652900000.0,297300000.0,3.4358423187601845,NetIncomeLoss,USD,25300000.0,598500000.0,-573200000.0,-95.77276524644945,0.2826752474805032,6.9167562320147,-6.634080984534198,OperatingIncomeLoss,USD,230600000.0,772300000.0,-541700000.0,29.858863136087013,2.576478737905298,8.925331391787724,-6.348852653882426,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0000092122-26-000006,0000092122,SOUTHERN CO,4911,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-19,Revenues,USD,29553000000.0,26724000000.0,2829000000.0,10.585990121239336,NetIncomeLoss,USD,4341000000.0,4401000000.0,-60000000.0,-1.3633265167007498,14.688864074713226,16.468343062415805,-1.779478987702579,OperatingIncomeLoss,USD,7285000000.0,7068000000.0,217000000.0,103.0701754385965,24.650627685852537,26.448136506511002,-1.797508820658464,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
