location_id,borough,zone,day_type,request_hour,dates_with_requests,possible_dates,dates_median_above_city,dates_long_share_above_city,min_daily_n,median_daily_n
2,Queens,Jamaica Bay,Weekday,10,1,22,1,0,2,2.0
2,Queens,Jamaica Bay,Weekday,12,1,22,1,0,1,1.0
2,Queens,Jamaica Bay,Weekday,13,3,22,3,1,1,1.0
2,Queens,Jamaica Bay,Weekday,14,7,22,7,4,1,1.0
2,Queens,Jamaica Bay,Weekday,15,2,22,1,0,1,1.0
2,Queens,Jamaica Bay,Weekday,16,4,22,3,1,1,1.0
2,Queens,Jamaica Bay,Weekday,17,1,22,1,0,1,1.0
2,Queens,Jamaica Bay,Weekday,19,3,22,2,1,1,1.0
2,Queens,Jamaica Bay,Weekend,5,1,8,1,1,1,1.0
2,Queens,Jamaica Bay,Weekend,9,2,8,2,1,1,1.0
2,Queens,Jamaica Bay,Weekend,11,2,8,1,1,1,1.0
2,Queens,Jamaica Bay,Weekend,13,1,8,1,0,1,1.0
2,Queens,Jamaica Bay,Weekend,14,1,8,1,0,1,1.0
2,Queens,Jamaica Bay,Weekend,15,2,8,2,0,1,1.5
2,Queens,Jamaica Bay,Weekend,17,2,8,2,1,2,3.5
2,Queens,Jamaica Bay,Weekend,18,3,8,2,1,1,1.0
2,Queens,Jamaica Bay,Weekend,20,1,8,1,1,1,1.0
3,Bronx,Allerton/Pelham Gardens,Weekday,0,22,22,14,6,15,26.0
3,Bronx,Allerton/Pelham Gardens,Weekday,1,22,22,20,12,8,16.0
3,Bronx,Allerton/Pelham Gardens,Weekday,2,22,22,19,12,3,12.0
3,Bronx,Allerton/Pelham Gardens,Weekday,3,22,22,21,17,6,11.5
3,Bronx,Allerton/Pelham Gardens,Weekday,4,22,22,20,15,9,16.5
3,Bronx,Allerton/Pelham Gardens,Weekday,5,22,22,16,11,20,32.5
3,Bronx,Allerton/Pelham Gardens,Weekday,6,22,22,21,10,77,100.5
3,Bronx,Allerton/Pelham Gardens,Weekday,7,22,22,13,9,76,126.0
3,Bronx,Allerton/Pelham Gardens,Weekday,8,22,22,7,10,116,139.5
3,Bronx,Allerton/Pelham Gardens,Weekday,9,22,22,5,4,79,103.0
3,Bronx,Allerton/Pelham Gardens,Weekday,10,22,22,12,6,58,80.5
