location_id,borough,zone,day_type,request_hour,n,calendar_occurrences,requests_per_occurrence,over_10_count,over_10_per_occurrence,median_wait_min,p90_wait_min,share_over_10,city_median_wait_min,city_p90_wait_min,city_share_over_10,median_excess_min,supply_metric_requests,prior_hour_dropoffs,supply_hours_observed,local_pressure,is_airport,severity_rank
46,Bronx,City Island,Weekend,1,100,8,12.5,72,9.0,13.308333333333334,23.156666666666666,0.72,4.466666666666667,10.033333333333333,0.10095353961802017,8.841666666666667,100,51,8,1.9607843137254901,false,1
46,Bronx,City Island,Weekend,23,105,8,13.125,73,9.125,12.733333333333333,22.256666666666668,0.6952380952380952,5.283333333333333,12.25,0.1677525269003699,7.449999999999999,105,106,8,0.9905660377358491,false,2
46,Bronx,City Island,Weekend,0,104,8,13.0,63,7.875,11.316666666666666,22.825000000000003,0.6057692307692307,4.833333333333333,10.8,0.12398178784175715,6.483333333333333,104,60,8,1.7333333333333334,false,3
46,Bronx,City Island,Weekend,22,136,8,17.0,71,8.875,10.25,23.366666666666667,0.5220588235294118,4.966666666666667,11.65,0.14563746000492248,5.283333333333333,136,117,8,1.1623931623931625,false,4
117,Queens,Hammels/Arverne,Weekday,5,659,22,29.954545454545453,341,15.5,10.283333333333333,19.206666666666667,0.5174506828528073,4.733333333333333,10.55,0.11488716657294443,5.55,659,198,22,3.3282828282828283,false,5
46,Bronx,City Island,Weekday,22,220,22,10.0,111,5.045454545454546,10.208333333333332,21.138333333333332,0.5045454545454545,4.316666666666666,10.283333333333333,0.10747069193979303,5.891666666666666,220,218,22,1.0091743119266054,false,6
46,Bronx,City Island,Weekend,21,151,8,18.875,75,9.375,9.883333333333333,20.3,0.4966887417218543,4.5,10.683333333333334,0.11742836553102828,5.383333333333333,151,134,8,1.126865671641791,false,7
109,Staten Island,Great Kills,Weekday,3,111,22,5.045454545454546,54,2.4545454545454546,9.783333333333333,18.883333333333333,0.4864864864864865,4.666666666666667,10.816666666666666,0.12186100419248215,5.116666666666666,111,91,22,1.2197802197802199,false,8
117,Queens,Hammels/Arverne,Weekday,4,403,22,18.318181818181817,195,8.863636363636363,9.8,20.0,0.4838709677419355,5.033333333333333,11.283333333333333,0.13485731819576557,4.7666666666666675,403,283,22,1.4240282685512367,false,9
46,Bronx,City Island,Weekend,19,144,8,18.0,68,8.5,9.108333333333334,21.233333333333345,0.4722222222222222,4.3,10.0,0.09964006490632837,4.8083333333333345,144,149,8,0.9664429530201343,false,10
23,Staten Island,Bloomfield/Emerson Hill,Weekday,3,173,22,7.863636363636363,80,3.6363636363636362,9.216666666666667,19.296666666666667,0.4624277456647399,4.666666666666667,10.816666666666666,0.12186100419248215,4.55,173,189,22,0.9153439153439153,false,11
46,Bronx,City Island,Weekday,23,178,22,8.090909090909092,82,3.727272727272727,9.625,19.96333333333334,0.4606741573033708,4.3,10.3,0.1080249373933054,5.325,178,131,22,1.3587786259541985,false,12
172,Staten Island,New Dorp/Midland Beach,Weekend,23,127,8,15.875,58,7.25,9.116666666666667,18.573333333333338,0.4566929133858268,5.283333333333333,12.25,0.1677525269003699,3.833333333333334,127,120,8,1.0583333333333333,false,13
23,Staten Island,Bloomfield/Emerson Hill,Weekday,4,414,22,18.818181818181817,189,8.590909090909092,8.983333333333334,20.045,0.45652173913043476,5.033333333333333,11.283333333333333,0.13485731819576557,3.950000000000001,414,131,22,3.1603053435114505,false,14
109,Staten Island,Great Kills,Weekend,3,113,8,14.125,51,6.375,8.75,18.02,0.45132743362831856,5.016666666666667,11.416666666666666,0.14056691137983332,3.7333333333333334,113,145,8,0.7793103448275862,false,15
115,Staten Island,Grymes Hill/Clifton,Weekday,3,105,22,4.7727272727272725,47,2.1363636363636362,8.916666666666666,18.03,0.44761904761904764,4.666666666666667,10.816666666666666,0.12186100419248215,4.249999999999999,105,142,22,0.7394366197183099,false,16
46,Bronx,City Island,Weekend,20,143,8,17.875,64,8.0,8.95,18.946666666666665,0.44755244755244755,4.366666666666666,10.183333333333334,0.10420757738252621,4.583333333333333,143,145,8,0.9862068965517241,false,17
118,Staten Island,Heartland Village/Todt Hill,Weekend,1,111,8,13.875,49,6.125,9.066666666666666,16.316666666666666,0.44144144144144143,4.466666666666667,10.033333333333333,0.10095353961802017,4.6,111,159,8,0.6981132075471698,false,18
194,Manhattan,Randalls Island,Weekday,22,113,22,5.136363636363637,49,2.227272727272727,8.233333333333333,16.04,0.4336283185840708,4.316666666666666,10.283333333333333,0.10747069193979303,3.916666666666666,113,59,22,1.9152542372881356,false,19
23,Staten Island,Bloomfield/Emerson Hill,Weekend,4,132,8,16.5,57,7.125,9.2,18.260000000000005,0.4318181818181818,5.366666666666666,12.066666666666666,0.1614305787534134,3.833333333333333,132,109,8,1.2110091743119267,false,20
86,Queens,Far Rockaway,Weekday,4,473,22,21.5,204,9.272727272727273,8.616666666666667,18.28,0.4312896405919662,5.033333333333333,11.283333333333333,0.13485731819576557,3.583333333333334,473,297,22,1.5925925925925926,false,21
117,Queens,Hammels/Arverne,Weekday,7,1567,22,71.22727272727273,675,30.681818181818183,8.833333333333334,18.373333333333335,0.43075941289087427,4.716666666666667,10.916666666666666,0.12505400636974198,4.116666666666667,1567,516,22,3.0368217054263567,false,22
117,Queens,Hammels/Arverne,Weekday,2,312,22,14.181818181818182,134,6.090909090909091,8.858333333333334,19.111666666666668,0.42948717948717946,4.166666666666667,9.733333333333333,0.0917155118275068,4.691666666666667,312,649,22,0.48073959938366717,false,23
46,Bronx,City Island,Weekday,7,148,22,6.7272727272727275,63,2.8636363636363638,9.175,16.615000000000002,0.42567567567567566,4.716666666666667,10.916666666666666,0.12505400636974198,4.458333333333334,148,18,22,8.222222222222221,false,24
117,Queens,Hammels/Arverne,Weekday,3,292,22,13.272727272727273,124,5.636363636363637,8.991666666666667,18.296666666666674,0.4246575342465753,4.666666666666667,10.816666666666666,0.12186100419248215,4.325,292,404,22,0.7227722772277227,false,25
46,Bronx,City Island,Weekday,13,148,22,6.7272727272727275,62,2.8181818181818183,8.233333333333334,17.148333333333333,0.4189189189189189,3.7666666666666666,8.4,0.06083681462951353,4.466666666666668,148,139,22,1.064748201438849,false,26
206,Staten Island,Saint George/New Brighton,Weekend,1,351,8,43.875,147,18.375,8.866666666666667,16.616666666666667,0.4188034188034188,4.466666666666667,10.033333333333333,0.10095353961802017,4.4,351,441,8,0.7959183673469388,false,27
201,Queens,Rockaway Park,Weekday,4,115,22,5.2272727272727275,48,2.1818181818181817,7.35,19.863333333333333,0.41739130434782606,5.033333333333333,11.283333333333333,0.13485731819576557,2.3166666666666664,115,72,22,1.5972222222222223,false,28
175,Queens,Oakland Gardens,Weekend,23,156,8,19.5,65,8.125,8.541666666666666,17.233333333333334,0.4166666666666667,5.283333333333333,12.25,0.1677525269003699,3.258333333333333,156,177,8,0.8813559322033898,false,29
46,Bronx,City Island,Weekday,10,104,22,4.7272727272727275,43,1.9545454545454546,8.591666666666667,16.095000000000002,0.41346153846153844,3.45,7.633333333333334,0.04230817137064033,5.141666666666667,104,117,22,0.8888888888888888,false,30
109,Staten Island,Great Kills,Weekday,4,143,22,6.5,59,2.6818181818181817,8.316666666666666,17.52,0.4125874125874126,5.033333333333333,11.283333333333333,0.13485731819576557,3.283333333333333,143,61,22,2.3442622950819674,false,31
172,Staten Island,New Dorp/Midland Beach,Weekend,22,161,8,20.125,66,8.25,8.3,19.95,0.40993788819875776,4.966666666666667,11.65,0.14563746000492248,3.333333333333334,161,134,8,1.2014925373134329,false,32
46,Bronx,City Island,Weekday,9,105,22,4.7727272727272725,43,1.9545454545454546,8.85,17.08666666666667,0.4095238095238095,3.6333333333333333,7.916666666666667,0.04848680895202782,5.216666666666667,105,66,20,1.5909090909090908,false,33
117,Queens,Hammels/Arverne,Weekday,8,1906,22,86.63636363636364,776,35.27272727272727,8.616666666666667,17.133333333333333,0.40713536201469047,4.25,9.266666666666667,0.08061026270069631,4.366666666666667,1906,866,22,2.2009237875288683,false,34
23,Staten Island,Bloomfield/Emerson Hill,Weekday,2,172,22,7.818181818181818,69,3.1363636363636362,8.675,19.038333333333334,0.4011627906976744,4.166666666666667,9.733333333333333,0.0917155118275068,4.508333333333334,172,357,22,0.48179271708683474,false,35
46,Bronx,City Island,Weekday,19,200,22,9.090909090909092,80,3.6363636363636362,8.341666666666667,17.23333333333333,0.4,3.4833333333333334,8.0,0.05254564746723257,4.858333333333333,200,372,22,0.5376344086021505,false,36
46,Bronx,City Island,Weekday,8,163,22,7.409090909090909,65,2.9545454545454546,9.1,17.923333333333332,0.3987730061349693,4.25,9.266666666666667,0.08061026270069631,4.85,163,48,22,3.3958333333333335,false,37
101,Queens,Glen Oaks,Weekday,3,139,22,6.318181818181818,55,2.5,8.066666666666666,16.37,0.39568345323741005,4.666666666666667,10.816666666666666,0.12186100419248215,3.3999999999999995,139,69,22,2.0144927536231885,false,38
214,Staten Island,South Beach/Dongan Hills,Weekend,23,195,8,24.375,77,9.625,8.1,17.283333333333335,0.39487179487179486,5.283333333333333,12.25,0.1677525269003699,2.8166666666666664,195,200,8,0.975,false,39
44,Staten Island,Charleston/Tottenville,Weekend,1,112,8,14.0,44,5.5,8.008333333333333,18.06666666666667,0.39285714285714285,4.466666666666667,10.033333333333333,0.10095353961802017,3.541666666666666,112,119,8,0.9411764705882353,false,40
117,Queens,Hammels/Arverne,Weekend,22,467,8,58.375,183,22.875,8.45,18.62666666666667,0.39186295503211993,4.966666666666667,11.65,0.14563746000492248,3.4833333333333325,467,500,8,0.934,false,41
93,Queens,Flushing Meadows-Corona Park,Weekday,22,1380,22,62.72727272727273,535,24.318181818181817,7.583333333333333,21.02833333333335,0.38768115942028986,4.316666666666666,10.283333333333333,0.10747069193979303,3.2666666666666666,1380,173,22,7.976878612716763,false,42
34,Brooklyn,Brooklyn Navy Yard,Weekend,5,439,8,54.875,170,21.25,8.416666666666666,19.040000000000003,0.38724373576309795,4.85,10.833333333333334,0.12383196890763251,3.5666666666666664,439,36,8,12.194444444444445,false,43
34,Brooklyn,Brooklyn Navy Yard,Weekend,4,900,8,112.5,348,43.5,8.308333333333334,20.708333333333336,0.38666666666666666,5.366666666666666,12.066666666666666,0.1614305787534134,2.9416666666666673,900,44,7,20.454545454545453,false,44
201,Queens,Rockaway Park,Weekend,23,202,8,25.25,78,9.75,8.491666666666667,18.908333333333335,0.38613861386138615,5.283333333333333,12.25,0.1677525269003699,3.208333333333334,202,216,8,0.9351851851851852,false,45
